,gas_price,power_price,storage_charge_bin,storage_discharge_bin,storage_power,storage_energy,bhkw_con_1_power,bhkw_con_2_power,storage_con_3_power,net_con_4_power,chp.bin,chp.gas,chp.power,chp.heat,electrical_grid.max_power,electrical_grid.power,electrical_grid.supply_bin,electrical_grid.feedin_bin
0,16,21,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
1,16,20,1.0,0.0,-1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
2,16,22,1.0,0.0,-1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
3,16,20,1.0,0.0,-1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
4,16,41,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
5,16,60,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
6,18,50,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
7,18,35,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,1.0,-0.0,1.0
8,18,40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.5,1.0,1.0,10.0,2.0,-0.0,1.0
9,18,14,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
10,18,-12,1.0,0.0,-1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
11,18,10,1.0,0.0,-1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
12,18,25,1.0,0.0,-1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
13,18,25,1.0,0.0,-1.0,5.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
14,18,30,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.5,1.0,1.0,10.0,2.0,-0.0,1.0
15,18,40,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,2.5,1.0,1.0,10.0,2.0,-0.0,1.0
16,18,50,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
17,18,61,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
18,18,50,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.8,2.0,2.0,10.0,3.0,-0.0,1.0
19,18,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,1.0,-0.0,1.0
20,18,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,1.0,-0.0,1.0
21,18,15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,1.0,-0.0,1.0
22,18,10,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,10.0,0.0,-0.0,1.0
23,18,15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.5,1.0,1.0,10.0,2.0,-0.0,1.0
